from_code,to_code,weight,method
DK012,DK012,1.0,composed
DK013,DK013,1.0,composed
DK014,DK014,1.0,composed
DK021,DK021,1.0,composed
DK022,DK022,1.0,composed
DK031,DK031,1.0,composed
DK032,DK032,1.0,composed
DK041,DK041,1.0,composed
DK042,DK042,1.0,composed
DK050,DK050,1.0,composed
EE001,EE001,0.9999178528538819,composed
EE001,EE004,8.214714611800308e-05,composed
EE004,EE004,1.0,composed
EE006,EE009,1.0,composed
EE007,EE00A,1.0,composed
EE008,EE008,1.0,composed
EL301,EL301,1.0,composed
EL302,EL302,1.0,composed
EL303,EL303,1.0,composed
EL304,EL304,1.0,composed
EL305,EL305,1.0,composed
EL306,EL306,1.0,composed
EL307,EL307,1.0,composed
EL411,EL411,1.0,composed
EL412,EL412,1.0,composed
EL413,EL413,1.0,composed
EL421,EL421,1.0,composed
EL422,EL422,1.0,composed
EL431,EL431,1.0,composed
EL432,EL432,1.0,composed
EL433,EL433,1.0,composed
EL434,EL434,1.0,composed
EL511,EL511,1.0,composed
EL512,EL512,1.0,composed
EL513,EL513,1.0,composed
EL514,EL514,1.0,composed
EL515,EL515,1.0,composed
EL521,EL521,1.0,composed
EL522,EL522,1.0,composed
EL523,EL523,1.0,composed
EL524,EL524,1.0,composed
EL525,EL525,1.0,composed
EL526,EL526,1.0,composed
EL527,EL527,1.0,composed
EL531,EL531,1.0,composed
EL532,EL532,1.0,composed
EL533,EL533,1.0,composed
EL541,EL541,1.0,composed
EL542,EL542,1.0,composed
EL543,EL543,1.0,composed
EL611,EL611,1.0,composed
EL612,EL612,1.0,composed
EL613,EL613,1.0,composed
EL621,EL621,1.0,composed
EL622,EL622,1.0,composed
EL623,EL623,1.0,composed
EL624,EL624,1.0,composed
EL631,EL631,1.0,composed
EL632,EL632,1.0,composed
EL633,EL633,1.0,composed
EL641,EL641,1.0,composed
EL642,EL642,1.0,composed
EL643,EL643,1.0,composed
EL644,EL644,1.0,composed
EL645,EL645,1.0,composed
EL651,EL651,1.0,composed
EL652,EL652,1.0,composed
EL653,EL653,1.0,composed
ES111,ES111,1.0,composed
ES112,ES112,1.0,composed
ES113,ES113,1.0,composed
ES114,ES114,1.0,composed
